"id","name","local_date","group.localized_location","group.lon","group.lat","description","link"
"whqhwsydckbcc","Master the Art of Public Speaking","2022-07-21","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsydckbcc/"
"whqhwsydclbgb","Master the Art of Public Speaking","2022-08-04","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsydclbgb/"
"whqhwsydclbxb","Master the Art of Public Speaking","2022-08-18","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsydclbxb/"
"whqhwsydcmbcb","Master the Art of Public Speaking","2022-09-01","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsydcmbcb/"
"whqhwsydcmbtb","Master the Art of Public Speaking","2022-09-15","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsydcmbtb/"
"whqhwsydcmbmc","Master the Art of Public Speaking","2022-09-29","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsydcmbmc/"
"whqhwsydcnbrb","Master the Art of Public Speaking","2022-10-06","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsydcnbrb/"
"whqhwsydcnbkc","Master the Art of Public Speaking","2022-10-20","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsydcnbkc/"
"whqhwsydcpbnb","Master the Art of Public Speaking","2022-11-03","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsydcpbnb/"
"whqhwsydcpbgc","Master the Art of Public Speaking","2022-11-17","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsydcpbgc/"
"whqhwsydcqblb","Master the Art of Public Speaking","2022-12-01","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsydcqblb/"
"whqhwsydcqbdc","Master the Art of Public Speaking","2022-12-15","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsydcqbdc/"
"whqhwsyfccbhb","Master the Art of Public Speaking","2023-01-05","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsyfccbhb/"
"whqhwsyfccbzb","Master the Art of Public Speaking","2023-01-19","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsyfccbzb/"
"whqhwsyfcdbdb","Master the Art of Public Speaking","2023-02-02","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsyfcdbdb/"
"whqhwsyfcdbvb","Master the Art of Public Speaking","2023-02-16","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsyfcdbvb/"
"whqhwsyfcfbdb","Master the Art of Public Speaking","2023-03-02","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsyfcfbdb/"
"whqhwsyfcfbvb","Master the Art of Public Speaking","2023-03-16","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsyfcfbvb/"
"whqhwsyfcfbnc","Master the Art of Public Speaking","2023-03-30","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsyfcfbnc/"
"whqhwsyfcgbrb","Master the Art of Public Speaking","2023-04-13","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsyfcgbrb/"
"whqhwsyfcgbkc","Master the Art of Public Speaking","2023-04-27","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsyfcgbkc/"
"whqhwsyfchbpb","Master the Art of Public Speaking","2023-05-11","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsyfchbpb/"
"whqhwsyfchbhc","Master the Art of Public Speaking","2023-05-25","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsyfchbhc/"
"whqhwsyfcjblb","Master the Art of Public Speaking","2023-06-08","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsyfcjblb/"
"whqhwsyfcjbdc","Master the Art of Public Speaking","2023-06-22","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsyfcjbdc/"
"whqhwsyfckbjb","Master the Art of Public Speaking","2023-07-06","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsyfckbjb/"
"whqhwsyfckbbc","Master the Art of Public Speaking","2023-07-20","Visalia, CA",-119.30999755859375,36.310001373291016,"<p>Looking to develop speaking and leadership skills? Ace that job interview? Do you need practice because English is not you first language? Ignite your career? Our club is one of thousands, worldwide. We are a learn by doing workshop where members can improve their speaking skills. Guests are welcome!</p> ","https://www.meetup.com/www-visaliadowntowntoastmasters-com/events/whqhwsyfckbbc/"